               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1091,            0.026827,            0.036804,           0.0087667,            0.032156,           0.0026622,          0.00052227,            0.092504,            0.034551,            0.026995,             0.00025,             0.00025,             0.09775
                   1,            0.083768,            0.034026,            0.030975,            0.059615,             0.08103,            0.040605,           0.0090229,            0.073428,            0.034537,            0.022303,          0.00046617,          0.00046617,            0.095366
                   2,             0.07266,             0.03086,            0.029887,             0.14102,             0.22425,             0.15187,            0.041023,            0.061151,            0.029239,            0.021991,          0.00053057,          0.00053057,            0.092831
                   3,            0.065483,            0.026689,            0.028961,             0.14809,             0.29625,             0.16187,            0.045458,            0.064041,            0.024608,            0.021027,          0.00042327,          0.00042327,            0.090123
                   4,            0.059984,            0.025365,            0.028022,             0.18195,             0.31749,              0.2108,            0.067951,            0.057208,             0.02363,            0.020102,          0.00023987,          0.00023987,             0.08734
