               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068175,            0.025984,            0.025945,             0.55919,             0.23646,             0.17715,            0.043994,            0.073078,            0.033457,            0.014058,             0.00202,             0.00202,             0.08182
                   1,            0.060238,            0.024541,            0.021057,             0.56895,             0.29567,             0.24158,            0.069235,            0.063768,            0.029529,            0.016403,           0.0037019,           0.0037019,            0.063202
                   2,            0.056513,            0.023963,            0.018395,             0.67439,             0.29368,             0.29759,            0.099334,            0.057243,            0.026762,            0.012992,           0.0041895,           0.0041895,            0.043389
                   3,             0.05431,             0.02338,             0.01766,             0.44338,             0.42836,             0.41608,              0.1478,            0.050308,            0.022909,            0.011098,           0.0033327,           0.0033327,            0.022233
                   4,            0.049846,            0.022353,            0.015762,             0.64121,             0.49911,             0.55737,             0.25411,            0.042403,            0.020662,           0.0079047,           0.0018594,           0.0018594,           0.0018594
