               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088773,             0.02967,            0.033569,             0.14605,             0.20836,             0.13202,            0.028993,            0.064939,            0.026428,            0.022526,             0.00202,             0.00202,             0.08182
                   1,            0.061286,            0.024079,            0.025173,             0.37943,               0.406,             0.37119,             0.13449,            0.052557,            0.021993,            0.013315,           0.0037019,           0.0037019,            0.063202
                   2,            0.056497,            0.021446,            0.017688,             0.40015,             0.49097,              0.4349,             0.17071,            0.047179,             0.02138,            0.010907,           0.0041895,           0.0041895,            0.043389
                   3,            0.049978,            0.020736,            0.015593,             0.58262,             0.54976,             0.56687,              0.2251,            0.045504,            0.020516,            0.008997,           0.0033327,           0.0033327,            0.022233
                   4,            0.046489,            0.020286,            0.013766,             0.74732,             0.55941,             0.60864,             0.27322,            0.039768,            0.020149,           0.0077787,           0.0018594,           0.0018594,           0.0018594
