               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067968,            0.025981,            0.026159,             0.59021,             0.23439,             0.19257,            0.051293,            0.065686,            0.051294,            0.013377,             0.00202,             0.00202,             0.08182
                   1,            0.059203,            0.024421,            0.020904,             0.68049,             0.30151,              0.2899,            0.096685,            0.054392,            0.036907,            0.012361,           0.0037019,           0.0037019,            0.063202
                   2,            0.054895,            0.023554,            0.017748,             0.68546,              0.3893,             0.39228,             0.12821,            0.055851,            0.025315,            0.011094,           0.0041895,           0.0041895,            0.043389
                   3,            0.052859,             0.02314,            0.016866,             0.60206,             0.42015,             0.45921,             0.18458,            0.047037,            0.022478,            0.011278,           0.0033327,           0.0033327,            0.022233
                   4,            0.048896,            0.022033,            0.014977,             0.64552,             0.55362,             0.58034,             0.26156,            0.041833,            0.020374,           0.0078959,           0.0018594,           0.0018594,           0.0018594
